ocel:eid,time:timestamp,concept:name,case:concept:name,case:role,case:weight,case:price,case:ocel:type,event_cost,cumulative_cost
confirm_o-990028,2023-04-17 19:14:29+00:00,confirm order,o-990028,,,2451.99,orders,1,1
place_o-990033,2023-04-18 07:33:53+00:00,place order,o-990033,,,3632.99,orders,0,0
confirm_o-990033,2023-04-18 11:07:33+00:00,confirm order,o-990033,,,3632.99,orders,1,1
place_o-990034,2023-04-18 13:21:35+00:00,place order,o-990034,,,1453.98,orders,0,0
pay_o-990019,2023-04-18 15:39:09+00:00,pay order,o-990019,,,1498.99,orders,1,2
confirm_o-990031,2023-04-18 16:35:49+00:00,confirm order,o-990031,,,713.98,orders,1,1
pay_o-990010,2023-04-18 16:41:49+00:00,pay order,o-990010,,,3751.0,orders,1,2
place_o-990035,2023-04-18 18:03:28+00:00,place order,o-990035,,,2261.98,orders,0,0
place_o-990036,2023-04-19 09:03:02+00:00,place order,o-990036,,,3488.99,orders,0,0
pay_o-990030,2023-04-19 10:05:51+00:00,pay order,o-990030,,,3749.94,orders,1,2
place_o-990037,2023-04-19 13:26:23+00:00,place order,o-990037,,,3311.97,orders,0,0
confirm_o-990035,2023-04-19 13:38:52+00:00,confirm order,o-990035,,,2261.98,orders,1,1
confirm_o-990034,2023-04-19 13:54:50+00:00,confirm order,o-990034,,,1453.98,orders,1,1
confirm_o-990037,2023-04-19 15:03:35+00:00,confirm order,o-990037,,,3311.97,orders,1,1
confirm_o-990036,2023-04-19 15:35:19+00:00,confirm order,o-990036,,,3488.99,orders,1,1
pay_o-990035,2023-04-19 15:46:50+00:00,pay order,o-990035,,,2261.98,orders,1,2
place_o-990038,2023-04-19 18:13:05+00:00,place order,o-990038,,,823.98,orders,0,0
confirm_o-990032,2023-04-19 22:17:22+00:00,confirm order,o-990032,,,1542.97,orders,1,1
place_o-990039,2023-04-20 09:22:28+00:00,place order,o-990039,,,2762.98,orders,0,0
place_o-990040,2023-04-20 14:05:15+00:00,place order,o-990040,,,663.0,orders,0,0
confirm_o-990039,2023-04-20 14:59:30+00:00,confirm order,o-990039,,,2762.98,orders,1,1
place_o-990041,2023-04-20 18:30:49+00:00,place order,o-990041,,,2710.98,orders,0,0
pay_o-990022,2023-04-21 09:39:11+00:00,pay order,o-990022,,,2998.98,orders,1,2
place_o-990042,2023-04-21 09:57:57+00:00,place order,o-990042,,,5327.97,orders,0,0
confirm_o-990041,2023-04-21 10:11:42+00:00,confirm order,o-990041,,,2710.98,orders,1,1
pay_o-990033,2023-04-21 10:58:46+00:00,pay order,o-990033,,,3632.99,orders,1,2
confirm_o-990038,2023-04-21 14:33:45+00:00,confirm order,o-990038,,,823.98,orders,1,1
pay_o-990024,2023-04-21 14:53:48+00:00,pay order,o-990024,,,1159.99,orders,1,2
place_o-990043,2023-04-21 15:16:13+00:00,place order,o-990043,,,134.98,orders,0,0
pay_o-990032,2023-04-21 16:13:19+00:00,pay order,o-990032,,,1542.97,orders,1,2
confirm_o-990042,2023-04-21 17:21:37+00:00,confirm order,o-990042,,,5327.97,orders,1,1
place_o-990044,2023-04-21 20:29:16+00:00,place order,o-990044,,,673.98,orders,0,0
place_o-990045,2023-04-24 03:30:44+00:00,place order,o-990045,,,1853.0,orders,0,0
confirm_o-990043,2023-04-24 09:24:09+00:00,confirm order,o-990043,,,134.98,orders,1,1
confirm_o-990045,2023-04-24 11:09:11+00:00,confirm order,o-990045,,,1853.0,orders,1,1
place_o-990046,2023-04-24 12:54:07+00:00,place order,o-990046,,,3304.0,orders,0,0
confirm_o-990044,2023-04-24 13:40:32+00:00,confirm order,o-990044,,,673.98,orders,1,1
place_o-990047,2023-04-24 18:08:33+00:00,place order,o-990047,,,8016.98,orders,0,0
pay_o-990039,2023-04-24 18:58:03+00:00,pay order,o-990039,,,2762.98,orders,1,2
confirm_o-990047,2023-04-25 08:15:49+00:00,confirm order,o-990047,,,8016.98,orders,1,1
place_o-990048,2023-04-25 09:13:25+00:00,place order,o-990048,,,1283.98,orders,0,0
place_o-990049,2023-04-25 13:47:09+00:00,place order,o-990049,,,700.98,orders,0,0
confirm_o-990048,2023-04-25 14:34:04+00:00,confirm order,o-990048,,,1283.98,orders,1,1
reminder_o-990003_1,2023-04-25 15:27:08+00:00,payment reminder,o-990003,,,3599.99,orders,2,3
place_o-990050,2023-04-25 18:54:36+00:00,place order,o-990050,,,6518.96,orders,0,0
reminder_o-990009_2,2023-04-26 10:12:38+00:00,payment reminder,o-990009,,,1268.98,orders,2,3
place_o-990051,2023-04-26 10:45:31+00:00,place order,o-990051,,,570.99,orders,0,0
confirm_o-990050,2023-04-26 12:08:51+00:00,confirm order,o-990050,,,6518.96,orders,1,1
confirm_o-990046,2023-04-26 13:13:28+00:00,confirm order,o-990046,,,3304.0,orders,1,1
pay_o-990047,2023-04-26 15:05:15+00:00,pay order,o-990047,,,8016.98,orders,1,2
reminder_o-990004_3,2023-04-26 15:26:08+00:00,payment reminder,o-990004,,,2241.95,orders,2,3
pay_o-990028,2023-04-26 15:43:20+00:00,pay order,o-990028,,,2451.99,orders,1,2
place_o-990052,2023-04-26 15:51:21+00:00,place order,o-990052,,,2514.97,orders,0,0
pay_o-990050,2023-04-26 16:00:15+00:00,pay order,o-990050,,,6518.96,orders,1,2
confirm_o-990051,2023-04-26 16:29:10+00:00,confirm order,o-990051,,,570.99,orders,1,1
place_o-990053,2023-04-26 22:14:41+00:00,place order,o-990053,,,1333.98,orders,0,0
confirm_o-990053,2023-04-27 09:45:40+00:00,confirm order,o-990053,,,1333.98,orders,1,1
reminder_o-990012_4,2023-04-27 10:03:35+00:00,payment reminder,o-990012,,,3463.97,orders,2,3
confirm_o-990049,2023-04-27 10:32:53+00:00,confirm order,o-990049,,,700.98,orders,1,1
place_o-990054,2023-04-27 11:48:20+00:00,place order,o-990054,,,3281.96,orders,0,0
pay_o-990044,2023-04-27 12:50:21+00:00,pay order,o-990044,,,673.98,orders,1,2
reminder_o-990013_5,2023-04-27 15:19:53+00:00,payment reminder,o-990013,,,3349.99,orders,2,3
pay_o-990029,2023-04-27 15:28:08+00:00,pay order,o-990029,,,883.98,orders,1,2
pay_o-990009,2023-04-27 15:55:33+00:00,pay order,o-990009,,,1268.98,orders,1,4
place_o-990055,2023-04-27 16:56:59+00:00,place order,o-990055,,,1432.97,orders,0,0
confirm_o-990052,2023-04-27 17:18:16+00:00,confirm order,o-990052,,,2514.97,orders,1,1
pay_o-990031,2023-04-27 22:22:34+00:00,pay order,o-990031,,,713.98,orders,1,2
place_o-990056,2023-04-28 02:49:57+00:00,place order,o-990056,,,1233.99,orders,0,0
pay_o-990045,2023-04-28 08:57:52+00:00,pay order,o-990045,,,1853.0,orders,1,2
pay_o-990026,2023-04-28 09:03:32+00:00,pay order,o-990026,,,829.98,orders,1,2
pay_o-990013,2023-04-28 09:18:45+00:00,pay order,o-990013,,,3349.99,orders,1,4
confirm_o-990055,2023-04-28 10:36:57+00:00,confirm order,o-990055,,,1432.97,orders,1,1
place_o-990057,2023-04-28 13:09:15+00:00,place order,o-990057,,,3390.0,orders,0,0
confirm_o-990057,2023-04-28 15:46:10+00:00,confirm order,o-990057,,,3390.0,orders,1,1
confirm_o-990056,2023-04-28 16:04:09+00:00,confirm order,o-990056,,,1233.99,orders,1,1
place_o-990058,2023-04-28 17:38:49+00:00,place order,o-990058,,,2129.97,orders,0,0
confirm_o-990040,2023-04-28 18:57:43+00:00,confirm order,o-990040,,,663.0,orders,1,1
place_o-990059,2023-04-29 17:12:07+00:00,place order,o-990059,,,669.98,orders,0,0
place_o-990060,2023-05-01 08:01:41+00:00,place order,o-990060,,,554.95,orders,0,0
confirm_o-990054,2023-05-01 08:59:18+00:00,confirm order,o-990054,,,3281.96,orders,1,1
reminder_o-990016_6,2023-05-01 09:30:24+00:00,payment reminder,o-990016,,,3990.98,orders,2,3
pay_o-990004,2023-05-01 09:40:47+00:00,pay order,o-990004,,,2241.95,orders,1,4
place_o-990061,2023-05-01 09:50:37+00:00,place order,o-990061,,,7482.0,orders,0,0
place_o-990062,2023-05-01 11:59:20+00:00,place order,o-990062,,,620.98,orders,0,0
confirm_o-990061,2023-05-01 12:44:26+00:00,confirm order,o-990061,,,7482.0,orders,1,1
confirm_o-990059,2023-05-01 13:15:45+00:00,confirm order,o-990059,,,669.98,orders,1,1
place_o-990063,2023-05-01 14:16:46+00:00,place order,o-990063,,,144.98,orders,0,0
confirm_o-990060,2023-05-01 14:18:38+00:00,confirm order,o-990060,,,554.95,orders,1,1
place_o-990064,2023-05-01 15:51:37+00:00,place order,o-990064,,,4548.98,orders,0,0
confirm_o-990058,2023-05-01 16:07:16+00:00,confirm order,o-990058,,,2129.97,orders,1,1
pay_o-990043,2023-05-01 16:58:54+00:00,pay order,o-990043,,,134.98,orders,1,2
confirm_o-990064,2023-05-01 17:04:00+00:00,confirm order,o-990064,,,4548.98,orders,1,1
place_o-990065,2023-05-01 18:01:20+00:00,place order,o-990065,,,729.98,orders,0,0
place_o-990066,2023-05-01 19:40:11+00:00,place order,o-990066,,,4453.99,orders,0,0
place_o-990067,2023-05-01 22:56:34+00:00,place order,o-990067,,,294.98,orders,0,0
confirm_o-990063,2023-05-02 09:26:36+00:00,confirm order,o-990063,,,144.98,orders,1,1
place_o-990068,2023-05-02 09:41:19+00:00,place order,o-990068,,,3779.98,orders,0,0
confirm_o-990066,2023-05-02 09:45:31+00:00,confirm order,o-990066,,,4453.99,orders,1,1
confirm_o-990067,2023-05-02 10:28:45+00:00,confirm order,o-990067,,,294.98,orders,1,1
confirm_o-990068,2023-05-02 11:23:12+00:00,confirm order,o-990068,,,3779.98,orders,1,1
place_o-990069,2023-05-02 11:40:44+00:00,place order,o-990069,,,3512.98,orders,0,0
pay_o-990067,2023-05-02 12:34:32+00:00,pay order,o-990067,,,294.98,orders,1,2
place_o-990070,2023-05-02 13:39:33+00:00,place order,o-990070,,,1283.99,orders,0,0
confirm_o-990069,2023-05-02 14:49:33+00:00,confirm order,o-990069,,,3512.98,orders,1,1
confirm_o-990070,2023-05-02 15:21:16+00:00,confirm order,o-990070,,,1283.99,orders,1,1
place_o-990071,2023-05-02 15:37:12+00:00,place order,o-990071,,,3755.98,orders,0,0
pay_o-990066,2023-05-02 15:44:08+00:00,pay order,o-990066,,,4453.99,orders,1,2
place_o-990072,2023-05-02 17:32:29+00:00,place order,o-990072,,,4222.99,orders,0,0
place_o-990073,2023-05-02 19:23:04+00:00,place order,o-990073,,,3093.99,orders,0,0
confirm_o-990062,2023-05-02 19:23:34+00:00,confirm order,o-990062,,,620.98,orders,1,1
place_o-990074,2023-05-02 22:22:19+00:00,place order,o-990074,,,1502.97,orders,0,0
place_o-990075,2023-05-03 08:32:50+00:00,place order,o-990075,,,704.0,orders,0,0
confirm_o-990074,2023-05-03 09:08:02+00:00,confirm order,o-990074,,,1502.97,orders,1,1
pay_o-990060,2023-05-03 09:15:45+00:00,pay order,o-990060,,,554.95,orders,1,2
confirm_o-990075,2023-05-03 09:59:40+00:00,confirm order,o-990075,,,704.0,orders,1,1
confirm_o-990071,2023-05-03 10:30:33+00:00,confirm order,o-990071,,,3755.98,orders,1,1
place_o-990076,2023-05-03 10:37:20+00:00,place order,o-990076,,,1762.98,orders,0,0
confirm_o-990076,2023-05-03 10:46:28+00:00,confirm order,o-990076,,,1762.98,orders,1,1
reminder_o-990023_7,2023-05-03 11:26:39+00:00,payment reminder,o-990023,,,3347.99,orders,2,3
pay_o-990057,2023-05-03 12:22:07+00:00,pay order,o-990057,,,3390.0,orders,1,2
place_o-990077,2023-05-03 12:32:46+00:00,place order,o-990077,,,2452.99,orders,0,0
confirm_o-990072,2023-05-03 13:06:23+00:00,confirm order,o-990072,,,4222.99,orders,1,1
confirm_o-990073,2023-05-03 13:39:23+00:00,confirm order,o-990073,,,3093.99,orders,1,1
confirm_o-990077,2023-05-03 13:45:26+00:00,confirm order,o-990077,,,2452.99,orders,1,1
pay_o-990052,2023-05-03 14:12:52+00:00,pay order,o-990052,,,2514.97,orders,1,2
place_o-990078,2023-05-03 14:23:38+00:00,place order,o-990078,,,1482.98,orders,0,0
confirm_o-990065,2023-05-03 14:51:29+00:00,confirm order,o-990065,,,729.98,orders,1,1
pay_o-990077,2023-05-03 14:55:37+00:00,pay order,o-990077,,,2452.99,orders,1,2
place_o-990079,2023-05-03 16:05:21+00:00,place order,o-990079,,,2002.0,orders,0,0
pay_o-990003,2023-05-03 16:12:32+00:00,pay order,o-990003,,,3599.99,orders,1,4
confirm_o-990079,2023-05-03 16:22:06+00:00,confirm order,o-990079,,,2002.0,orders,1,1
pay_o-990041,2023-05-03 16:42:26+00:00,pay order,o-990041,,,2710.98,orders,1,2
place_o-990080,2023-05-03 17:28:48+00:00,place order,o-990080,,,384.96,orders,0,0
pay_o-990076,2023-05-03 17:34:36+00:00,pay order,o-990076,,,1762.98,orders,1,2
confirm_o-990078,2023-05-03 18:29:39+00:00,confirm order,o-990078,,,1482.98,orders,1,1
place_o-990081,2023-05-03 19:15:41+00:00,place order,o-990081,,,804.0,orders,0,0
place_o-990082,2023-05-03 22:07:34+00:00,place order,o-990082,,,454.95,orders,0,0
place_o-990083,2023-05-04 07:46:20+00:00,place order,o-990083,,,1104.0,orders,0,0
confirm_o-990080,2023-05-04 09:21:14+00:00,confirm order,o-990080,,,384.96,orders,1,1
pay_o-990046,2023-05-04 10:32:52+00:00,pay order,o-990046,,,3304.0,orders,1,2
place_o-990084,2023-05-04 10:33:04+00:00,place order,o-990084,,,7516.96,orders,0,0
pay_o-990012,2023-05-04 12:12:44+00:00,pay order,o-990012,,,3463.97,orders,1,4
pay_o-990042,2023-05-04 12:13:49+00:00,pay order,o-990042,,,5327.97,orders,1,2
place_o-990085,2023-05-04 12:24:13+00:00,place order,o-990085,,,5207.97,orders,0,0
pay_o-990075,2023-05-04 12:40:51+00:00,pay order,o-990075,,,704.0,orders,1,2
confirm_o-990083,2023-05-04 12:42:22+00:00,confirm order,o-990083,,,1104.0,orders,1,1
confirm_o-990084,2023-05-04 13:44:12+00:00,confirm order,o-990084,,,7516.96,orders,1,1
place_o-990086,2023-05-04 14:06:32+00:00,place order,o-990086,,,7250.0,orders,0,0
pay_o-990038,2023-05-04 14:46:33+00:00,pay order,o-990038,,,823.98,orders,1,2
pay_o-990064,2023-05-04 14:47:02+00:00,pay order,o-990064,,,4548.98,orders,1,2
confirm_o-990081,2023-05-04 15:01:59+00:00,confirm order,o-990081,,,804.0,orders,1,1
confirm_o-990082,2023-05-04 15:24:53+00:00,confirm order,o-990082,,,454.95,orders,1,1
place_o-990087,2023-05-04 15:31:10+00:00,place order,o-990087,,,2380.97,orders,0,0
pay_o-990082,2023-05-04 15:50:45+00:00,pay order,o-990082,,,454.95,orders,1,2
pay_o-990065,2023-05-04 16:07:20+00:00,pay order,o-990065,,,729.98,orders,1,2
confirm_o-990085,2023-05-04 16:07:47+00:00,confirm order,o-990085,,,5207.97,orders,1,1
place_o-990088,2023-05-04 17:20:25+00:00,place order,o-990088,,,1691.96,orders,0,0
confirm_o-990086,2023-05-04 18:02:00+00:00,confirm order,o-990086,,,7250.0,orders,1,1
pay_o-990016,2023-05-04 18:22:08+00:00,pay order,o-990016,,,3990.98,orders,1,4
place_o-990089,2023-05-04 18:58:56+00:00,place order,o-990089,,,2404.99,orders,0,0
place_o-990090,2023-05-04 22:32:59+00:00,place order,o-990090,,,703.97,orders,0,0
place_o-990091,2023-05-05 08:54:09+00:00,place order,o-990091,,,1612.97,orders,0,0
pay_o-990079,2023-05-05 09:07:51+00:00,pay order,o-990079,,,2002.0,orders,1,2
pay_o-990040,2023-05-05 09:17:33+00:00,pay order,o-990040,,,663.0,orders,1,2
pay_o-990054,2023-05-05 09:33:10+00:00,pay order,o-990054,,,3281.96,orders,1,2
pay_o-990078,2023-05-05 09:49:35+00:00,pay order,o-990078,,,1482.98,orders,1,2
confirm_o-990091,2023-05-05 10:06:50+00:00,confirm order,o-990091,,,1612.97,orders,1,1
confirm_o-990089,2023-05-05 10:22:53+00:00,confirm order,o-990089,,,2404.99,orders,1,1
place_o-990092,2023-05-05 11:09:20+00:00,place order,o-990092,,,563.99,orders,0,0
place_o-990093,2023-05-05 12:36:45+00:00,place order,o-990093,,,2532.97,orders,0,0
pay_o-990058,2023-05-05 13:51:27+00:00,pay order,o-990058,,,2129.97,orders,1,2
place_o-990094,2023-05-05 14:31:36+00:00,place order,o-990094,,,1283.98,orders,0,0
confirm_o-990090,2023-05-05 15:28:42+00:00,confirm order,o-990090,,,703.97,orders,1,1
pay_o-990073,2023-05-05 16:00:24+00:00,pay order,o-990073,,,3093.99,orders,1,2
confirm_o-990094,2023-05-05 16:02:54+00:00,confirm order,o-990094,,,1283.98,orders,1,1
place_o-990095,2023-05-05 16:21:18+00:00,place order,o-990095,,,2634.0,orders,0,0
confirm_o-990095,2023-05-05 16:35:31+00:00,confirm order,o-990095,,,2634.0,orders,1,1
place_o-990096,2023-05-05 18:00:41+00:00,place order,o-990096,,,1101.96,orders,0,0
place_o-990097,2023-05-05 19:38:14+00:00,place order,o-990097,,,3303.99,orders,0,0
place_o-990098,2023-05-05 22:52:40+00:00,place order,o-990098,,,1809.0,orders,0,0
place_o-990099,2023-05-06 20:05:12+00:00,place order,o-990099,,,174.98,orders,0,0
place_o-990100,2023-05-07 19:24:17+00:00,place order,o-990100,,,1094.99,orders,0,0
confirm_o-990099,2023-05-08 08:24:37+00:00,confirm order,o-990099,,,174.98,orders,1,1
place_o-990101,2023-05-08 09:01:42+00:00,place order,o-990101,,,84.99,orders,0,0
confirm_o-990087,2023-05-08 09:32:48+00:00,confirm order,o-990087,,,2380.97,orders,1,1
place_o-990102,2023-05-08 10:21:30+00:00,place order,o-990102,,,2414.97,orders,0,0
pay_o-990023,2023-05-08 10:22:38+00:00,pay order,o-990023,,,3347.99,orders,1,4
pay_o-990091,2023-05-08 10:25:27+00:00,pay order,o-990091,,,1612.97,orders,1,2
confirm_o-990093,2023-05-08 10:29:11+00:00,confirm order,o-990093,,,2532.97,orders,1,1
confirm_o-990092,2023-05-08 10:31:12+00:00,confirm order,o-990092,,,563.99,orders,1,1
confirm_o-990097,2023-05-08 10:40:02+00:00,confirm order,o-990097,,,3303.99,orders,1,1
pay_o-990055,2023-05-08 11:21:03+00:00,pay order,o-990055,,,1432.97,orders,1,2
pay_o-990053,2023-05-08 11:36:58+00:00,pay order,o-990053,,,1333.98,orders,1,2
confirm_o-990098,2023-05-08 11:57:01+00:00,confirm order,o-990098,,,1809.0,orders,1,1
place_o-990103,2023-05-08 12:01:05+00:00,place order,o-990103,,,3797.98,orders,0,0
pay_o-990083,2023-05-08 12:13:15+00:00,pay order,o-990083,,,1104.0,orders,1,2
confirm_o-990100,2023-05-08 12:16:47+00:00,confirm order,o-990100,,,1094.99,orders,1,1
confirm_o-990101,2023-05-08 12:24:31+00:00,confirm order,o-990101,,,84.99,orders,1,1
place_o-990104,2023-05-08 13:20:16+00:00,place order,o-990104,,,5501.98,orders,0,0
pay_o-990099,2023-05-08 13:36:27+00:00,pay order,o-990099,,,174.98,orders,1,2
confirm_o-990088,2023-05-08 13:44:21+00:00,confirm order,o-990088,,,1691.96,orders,1,1
pay_o-990080,2023-05-08 14:55:43+00:00,pay order,o-990080,,,384.96,orders,1,2
place_o-990105,2023-05-08 14:58:38+00:00,place order,o-990105,,,3290.97,orders,0,0
confirm_o-990103,2023-05-08 15:20:17+00:00,confirm order,o-990103,,,3797.98,orders,1,1
pay_o-990056,2023-05-08 17:12:34+00:00,pay order,o-990056,,,1233.99,orders,1,2
place_o-990106,2023-05-08 17:15:21+00:00,place order,o-990106,,,3931.96,orders,0,0
place_o-990107,2023-05-08 18:48:48+00:00,place order,o-990107,,,3295.98,orders,0,0
place_o-990108,2023-05-08 22:02:35+00:00,place order,o-990108,,,1974.98,orders,0,0
place_o-990109,2023-05-09 07:16:27+00:00,place order,o-990109,,,2324.98,orders,0,0
pay_o-990051,2023-05-09 09:25:50+00:00,pay order,o-990051,,,570.99,orders,1,2
place_o-990110,2023-05-09 10:00:11+00:00,place order,o-990110,,,2829.0,orders,0,0
confirm_o-990106,2023-05-09 10:13:28+00:00,confirm order,o-990106,,,3931.96,orders,1,1
confirm_o-990108,2023-05-09 10:21:45+00:00,confirm order,o-990108,,,1974.98,orders,1,1
confirm_o-990102,2023-05-09 10:36:58+00:00,confirm order,o-990102,,,2414.97,orders,1,1
